"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"1656","test","in_right.jpg","incongruent","right",20032344,"right",1,1,"xi",1.748,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1657","test","in_left.jpg","incongruent","left",20032344,"left",1,0,"ii",1.731,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1658","test","nogo_right.jpg","nogo","right",20032344,NA,1,1,"ix",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1659","test","nogo_right.jpg","nogo","right",20032344,NA,1,0,"xx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1660","test","con_left.jpg","congruent","left",20032344,"left",1,1,"xc",1.364,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1661","test","con_left.jpg","congruent","left",20032344,"left",1,0,"cc",1.597,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1662","test","in_right.jpg","incongruent","right",20032344,"right",1,1,"ci",1.799,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1663","test","in_right.jpg","incongruent","right",20032344,"right",1,0,"ii",1.714,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1664","test","con_right.jpg","congruent","right",20032344,"right",1,1,"ic",2.081,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1665","test","con_left.jpg","congruent","left",20032344,"left",1,0,"cc",1.564,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1666","test","nogo_left.jpg","nogo","left",20032344,NA,1,1,"cx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
